[SQL_LOG:2023-03-20 12:50:33]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 12:53:05]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 13:27:23]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 13:27:25]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 13:28:04]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 13:28:50]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-20 13:29:03]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-24 07:21:27]: SELECT id, ctg_name, parent_id FROM category      []
[SQL_LOG:2023-03-25 16:35:15]: SELECT id, ctg_name, parent_id FROM category      []
